GENE_a	GENE_b	ID_a	ID_b	AC_a	AC_b	pubmedID	resource 
HIST1H4B	CSNK2A1	H4_HUMAN	CSK21_HUMAN	P62805	P68400	18508856	Interoporc
HIST1H4C	CSNK2A1	H4_HUMAN	CSK21_HUMAN	P62805	P68400	18508856	Interoporc
HIST1H4D	CSNK2A1	H4_HUMAN	CSK21_HUMAN	P62805	P68400	18508856	Interoporc
HIST1H4E	CSNK2A1	H4_HUMAN	CSK21_HUMAN	P62805	P68400	18508856	Interoporc
HIST1H4F	CSNK2A1	H4_HUMAN	CSK21_HUMAN	P62805	P68400	18508856	Interoporc
HIST1H4H	CSNK2A1	H4_HUMAN	CSK21_HUMAN	P62805	P68400	18508856	Interoporc
HIST1H4I	CSNK2A1	H4_HUMAN	CSK21_HUMAN	P62805	P68400	18508856	Interoporc
HIST1H4J	CSNK2A1	H4_HUMAN	CSK21_HUMAN	P62805	P68400	18508856	Interoporc
HIST1H4K	CSNK2A1	H4_HUMAN	CSK21_HUMAN	P62805	P68400	18508856	Interoporc
HIST1H4L	CSNK2A1	H4_HUMAN	CSK21_HUMAN	P62805	P68400	18508856	Interoporc
HIST2H4A	CSNK2A1	H4_HUMAN	CSK21_HUMAN	P62805	P68400	18508856	Interoporc
HIST2H4B	CSNK2A1	H4_HUMAN	CSK21_HUMAN	P62805	P68400	18508856	Interoporc
HIST4H4	CSNK2A1	H4_HUMAN	CSK21_HUMAN	P62805	P68400	18508856	Interoporc
HDAC1	CSNK2A1	HDAC1_HUMAN	CSK21_HUMAN	Q13547	P68400	22113938;18508856;11602581	Interoporc;IntAct;APID
HDAC2	CSNK2A1	HDAC2_HUMAN	CSK21_HUMAN	Q92769	P68400	20388487	iRefIndex
HDAC3	CSNK2A1	HDAC3_HUMAN	CSK21_HUMAN	O15379	P68400	15805470	APID
HDGFRP2	CSNK2A1	HDGR2_HUMAN	CSK21_HUMAN	Q7Z4V5	P68400	22113938	IntAct
HES6	CSNK2A1	HES6_HUMAN	CSK21_HUMAN	Q96HZ4	P68400	12972610	APID
HIRIP3	CSNK2A1	HIRP3_HUMAN	CSK21_HUMAN	Q9BW71	P68400	22113938;17391060	iRefIndex;IntAct
HMGA1	CSNK2A1	HMGA1_HUMAN	CSK21_HUMAN	P17096	P68400	11034995	APID
HMOX2	CSNK2A1	HMOX2_HUMAN	CSK21_HUMAN	P30519	P68400	14527438	APID
HNF1A	CSNK2A1	HNF1A_HUMAN	CSK21_HUMAN	P20823	P68400	20482850	Reactome_Fls
HNRNPC	CSNK2A1	HNRPC_HUMAN	CSK21_HUMAN	P07910	P68400	22113938;12564933	IntAct;APID
HSPH1	CSNK2A1	HS105_HUMAN	CSK21_HUMAN	Q92598	P68400	12558502	APID
HSP90AA1	CSNK2A1	HS90A_HUMAN	CSK21_HUMAN	P07900	P68400	7794926;22113938;20482850;15657099	Reactome_Fls;iRefIndex;IntAct;APID
HSF1	CSNK2A1	HSF1_HUMAN	CSK21_HUMAN	Q00613	P68400	12659875	APID
HTATSF1	CSNK2A1	HTSF1_HUMAN	CSK21_HUMAN	O43719	P68400	22113938	IntAct
HOXB7	CSNK2A1	HXB7_HUMAN	CSK21_HUMAN	P09629	P68400	11290787	APID
IGFBP3	CSNK2A1	IBP3_HUMAN	CSK21_HUMAN	P17936	P68400	10650937	APID
blocked for possible	CSNK2A1	IF16_HUMAN	CSK21_HUMAN	Q16666	P68400	11115400	APID
IFI16	CSNK2A1	IF16_HUMAN	CSK21_HUMAN	Q16666	P68400	11115400	APID
blocked for possible	CSNK2A1	IF2A_HUMAN	CSK21_HUMAN	P05198	P68400	22113938	IntAct
EIF2S1	CSNK2A1	IF2A_HUMAN	CSK21_HUMAN	P05198	P68400	22113938	IntAct
EIF2S2	CSNK2A1	IF2B_HUMAN	CSK21_HUMAN	P20042	P68400	8024572;22113938;12901717	iRefIndex;IntAct;APID
EIF4G3	CSNK2A1	IF4G3_HUMAN	CSK21_HUMAN	O43432	P68400	18508856	Interoporc
EIF5	CSNK2A1	IF5_HUMAN	CSK21_HUMAN	P55010	P68400	20482850;11861906	Reactome_Fls;APID
EIF6	CSNK2A1	IF6_HUMAN	CSK21_HUMAN	P56537	P68400	18508856	Interoporc
NFKBIA	CSNK2A1	IKBA_HUMAN	CSK21_HUMAN	P25963	P68400	8622692;20482850;10398585	Reactome_Fls;iRefIndex;APID
IL16	CSNK2A1	IL16_HUMAN	CSK21_HUMAN	Q14005	P68400	12450396	APID
PPP1R2	CSNK2A1	IPP2_HUMAN	CSK21_HUMAN	P41236	P68400	8288648	APID
IRS1	CSNK2A1	IRS1_HUMAN	CSK21_HUMAN	P35568	P68400	8349691;20482850	Reactome_Fls;APID
IWS1	CSNK2A1	IWS1_HUMAN	CSK21_HUMAN	Q96ST2	P68400	22113938	IntAct
F11R	CSNK2A1	JAM1_HUMAN	CSK21_HUMAN	Q9Y624	P68400	7646439	APID
JUN	CSNK2A1	JUN_HUMAN	CSK21_HUMAN	P05412	P68400	9685505;20482850;15657099	Reactome_Fls;iRefIndex;APID
KANK2	CSNK2A1	KANK2_HUMAN	CSK21_HUMAN	Q63ZY3	P68400	17476305	iRefIndex
CSNK1A1	CSNK2A1	KC1A_HUMAN	CSK21_HUMAN	P48729	P68400	20482850	Reactome_Fls
CSNK1D	CSNK2A1	KC1D_HUMAN	CSK21_HUMAN	P48730	P68400	20482850	Reactome_Fls
CSNK1E	CSNK2A1	KC1E_HUMAN	CSK21_HUMAN	P49674	P68400	20482850	Reactome_Fls
KIF1C	CSNK2A1	KIF1C_HUMAN	CSK21_HUMAN	O43896	P68400	10559254	APID
KIF5C	CSNK2A1	KIF5C_HUMAN	CSK21_HUMAN	O60282	P68400	19011756	IntAct
KLF1	CSNK2A1	KLF1_HUMAN	CSK21_HUMAN	Q13351	P68400	9722526	iRefIndex;APID
PRKCH	CSNK2A1	KPCL_HUMAN	CSK21_HUMAN	P24723	P68400	20482850	Reactome_Fls
PRKCZ	CSNK2A1	KPCZ_HUMAN	CSK21_HUMAN	Q05513	P68400	10764587	iRefIndex
KRI1	CSNK2A1	KRI1_HUMAN	CSK21_HUMAN	Q8N9T8	P68400	22113938;18508856	Interoporc;IntAct
RPS6KB1	CSNK2A1	KS6B1_HUMAN	CSK21_HUMAN	P23443	P68400	20482850	Reactome_Fls
L1CAM	CSNK2A1	L1CAM_HUMAN	CSK21_HUMAN	P32004	P68400	8592152;20482850;17367534	Reactome_Fls;Reactome;APID
TMPO	CSNK2A1	LAP2B_HUMAN	CSK21_HUMAN	P42167	P68400	22113938	IntAct
LARP1	CSNK2A1	LARP1_HUMAN	CSK21_HUMAN	Q6PKG0	P68400	22113938	IntAct
LARP7	CSNK2A1	LARP7_HUMAN	CSK21_HUMAN	Q4G0J3	P68400	22113938	IntAct
SSB	CSNK2A1	LA_HUMAN	CSK21_HUMAN	P05455	P68400	22113938	IntAct
LGALS3	CSNK2A1	LEG3_HUMAN	CSK21_HUMAN	P17931	P68400	10961987	APID
LEO1	CSNK2A1	LEO1_HUMAN	CSK21_HUMAN	Q8WVC0	P68400	22113938	IntAct
PAFAH1B1	CSNK2A1	LIS1_HUMAN	CSK21_HUMAN	P43034	P68400	20482850	Reactome_Fls
LRP6	CSNK2A1	LRP6_HUMAN	CSK21_HUMAN	O75581	P68400	20482850	Reactome_Fls
LYST	CSNK2A1	LYST_HUMAN	CSK21_HUMAN	Q99698	P68400	11984006	APID
MAP1B	CSNK2A1	MAP1B_HUMAN	CSK21_HUMAN	P46821	P68400	20482850	Reactome_Fls
MARK3	CSNK2A1	MARK3_HUMAN	CSK21_HUMAN	P27448	P68400	20482850	Reactome_Fls
MAX	CSNK2A1	MAX_HUMAN	CSK21_HUMAN	P61244	P68400	11535131	APID
MCRS1	CSNK2A1	MCRS1_HUMAN	CSK21_HUMAN	Q96EZ8	P68400	17353931	iRefIndex;APID
MDC1	CSNK2A1	MDC1_HUMAN	CSK21_HUMAN	Q14676	P68400	18583988	iRefIndex;DIP
MEF2C	CSNK2A1	MEF2C_HUMAN	CSK21_HUMAN	Q06413	P68400	8663403	APID
MFAP1	CSNK2A1	MFAP1_HUMAN	CSK21_HUMAN	P55081	P68400	22113938	IntAct
MAPK3	CSNK2A1	MK03_HUMAN	CSK21_HUMAN	P27361	P68400	20482850	Reactome_Fls
MAPK8	CSNK2A1	MK08_HUMAN	CSK21_HUMAN	P45983	P68400	20482850	Reactome_Fls
MAPK14	CSNK2A1	MK14_HUMAN	CSK21_HUMAN	Q16539	P68400	10747897	iRefIndex;APID
MAP1LC3A	CSNK2A1	MLP3A_HUMAN	CSK21_HUMAN	Q9H492	P68400	20562859	IntAct
MSH6	CSNK2A1	MSH6_HUMAN	CSK21_HUMAN	P52701	P68400	22113938	IntAct
MYB	CSNK2A1	MYB_HUMAN	CSK21_HUMAN	P10242	P68400	11313925	APID
MYCN	CSNK2A1	MYCN_HUMAN	CSK21_HUMAN	P04198	P68400	1425701	APID
MYF5	CSNK2A1	MYF5_HUMAN	CSK21_HUMAN	P13349	P68400	9461343	APID
SLC4A1AP	CSNK2A1	NADAP_HUMAN	CSK21_HUMAN	Q9BWU0	P68400	22113938	IntAct
GAP43	CSNK2A1	NEUM_HUMAN	CSK21_HUMAN	P17677	P68400	1828073	APID
NFATC1	CSNK2A1	NFAC1_HUMAN	CSK21_HUMAN	O95644	P68400	20482850	Reactome_Fls
NFIC	CSNK2A1	NFIC_HUMAN	CSK21_HUMAN	P08651	P68400	20482850	Reactome_Fls
NFKB1	CSNK2A1	NFKB1_HUMAN	CSK21_HUMAN	P19838	P68400	20482850	Reactome_Fls
NKX2-5	CSNK2A1	NKX25_HUMAN	CSK21_HUMAN	P52952	P68400	9858576	APID
NMT1	CSNK2A1	NMT1_HUMAN	CSK21_HUMAN	P30419	P68400	22113938	IntAct
NOC3L	CSNK2A1	NOC3L_HUMAN	CSK21_HUMAN	Q8WTT2	P68400	18508856	Interoporc
NOL10	CSNK2A1	NOL10_HUMAN	CSK21_HUMAN	Q9BSC4	P68400	18508856	Interoporc
NOL3	CSNK2A1	NOL3_HUMAN	CSK21_HUMAN	O60936	P68400	12191471	APID
NOP58	CSNK2A1	NOP58_HUMAN	CSK21_HUMAN	Q9Y2X3	P68400	22113938	IntAct
NCL	CSNK2A1	NUCL_HUMAN	CSK21_HUMAN	P19338	P68400	22113938	IntAct
OGT	CSNK2A1	OGT1_HUMAN	CSK21_HUMAN	O15294	P68400	20482850;16434389	Reactome_Fls;iRefIndex
SPP1	CSNK2A1	OSTP_HUMAN	CSK21_HUMAN	P10451	P68400	8663267	APID
TP53	CSNK2A1	P53_HUMAN	CSK21_HUMAN	P04637	P68400	20482850;10747897	Reactome_Fls;APID
PACS1	CSNK2A1	PACS1_HUMAN	CSK21_HUMAN	Q6VY07	P68400	16977309;14633983	MINT;iRefIndex;APID
PAK1	CSNK2A1	PAK1_HUMAN	CSK21_HUMAN	Q13153	P68400	15657099;10938077	iRefIndex
PDCD4	CSNK2A1	PDCD4_HUMAN	CSK21_HUMAN	Q53EL6	P68400	22113938	IntAct
PDIA6	CSNK2A1	PDIA6_HUMAN	CSK21_HUMAN	Q15084	P68400	22113938	IntAct
SERPINF1	CSNK2A1	PEDF_HUMAN	CSK21_HUMAN	P36955	P68400	16322471	APID
PES1	CSNK2A1	PESC_HUMAN	CSK21_HUMAN	O00541	P68400	18508856	Interoporc
PIN1	CSNK2A1	PIN1_HUMAN	CSK21_HUMAN	Q13526	P68400	11940573	MINT;iRefIndex;APID
PIN4	CSNK2A1	PIN4_HUMAN	CSK21_HUMAN	Q9Y237	P68400	12860119	APID
PML	CSNK2A1	PML_HUMAN	CSK21_HUMAN	P29590	P68400	16873060	iRefIndex;IntAct
PPP1R8	CSNK2A1	PP1R8_HUMAN	CSK21_HUMAN	Q12972	P68400	9407077	APID
PPP2CA	CSNK2A1	PP2AA_HUMAN	CSK21_HUMAN	P67775	P68400	20482850	Reactome_Fls
PPP2CB	CSNK2A1	PP2AB_HUMAN	CSK21_HUMAN	P62714	P68400	20482850	Reactome_Fls
PPP6C	CSNK2A1	PPP6_HUMAN	CSK21_HUMAN	O00743	P68400	20482850	Reactome_Fls
PPP1R1B	CSNK2A1	PPR1B_HUMAN	CSK21_HUMAN	Q9UD71	P68400	2557337	APID
PRPF38A	CSNK2A1	PR38A_HUMAN	CSK21_HUMAN	Q8NAV1	P68400	22113938	IntAct
PRPF40A	CSNK2A1	PR40A_HUMAN	CSK21_HUMAN	O75400	P68400	22113938	IntAct
PRCC	CSNK2A1	PRCC_HUMAN	CSK21_HUMAN	Q92733	P68400	22113938	IntAct
PGR	CSNK2A1	PRGR_HUMAN	CSK21_HUMAN	P06401	P68400	7983041;20482850	Reactome_Fls;APID
PRNP	CSNK2A1	PRIO_HUMAN	CSK21_HUMAN	P04156	P68400	11062072	iRefIndex;APID
PSMA3	CSNK2A1	PSA3_HUMAN	CSK21_HUMAN	P25788	P68400	8619999	APID
PSIP1	CSNK2A1	PSIP1_HUMAN	CSK21_HUMAN	O75475	P68400	22113938	IntAct
PSEN2	CSNK2A1	PSN2_HUMAN	CSK21_HUMAN	P49810	P68400	8972483	APID
PTPN1	CSNK2A1	PTN1_HUMAN	CSK21_HUMAN	P18031	P68400	8491187;20482850	Reactome_Fls;APID
PTPRC	CSNK2A1	PTPRC_HUMAN	CSK21_HUMAN	P08575	P68400	10066810	APID
RRAD	CSNK2A1	RAD_HUMAN	CSK21_HUMAN	P55042	P68400	7876254	APID
RANGAP1	CSNK2A1	RAGP1_HUMAN	CSK21_HUMAN	P46060	P68400	20482850;16428860	Reactome_Fls;APID
RBM34	CSNK2A1	RBM34_HUMAN	CSK21_HUMAN	P42696	P68400	18508856	Interoporc
RBMX	CSNK2A1	RBMX_HUMAN	CSK21_HUMAN	P38159	P68400	22113938	IntAct
RNF7	CSNK2A1	RBX2_HUMAN	CSK21_HUMAN	Q9UBF6	P68400	12748192	APID
RPA1	CSNK2A1	RFA1_HUMAN	CSK21_HUMAN	P27694	P68400	20482850	Reactome_Fls
RGS19	CSNK2A1	RGS19_HUMAN	CSK21_HUMAN	P49795	P68400	10760275	APID
RIOK2	CSNK2A1	RIOK2_HUMAN	CSK21_HUMAN	Q9BVS4	P68400	22113938	IntAct
RPL13	CSNK2A1	RL13_HUMAN	CSK21_HUMAN	P26373	P68400	22113938	IntAct
RPLP0	CSNK2A1	RLA0_HUMAN	CSK21_HUMAN	P05388	P68400	22113938	IntAct
RPLP1	CSNK2A1	RLA1_HUMAN	CSK21_HUMAN	P05386	P68400	22113938	IntAct
MRPL4	CSNK2A1	RM04_HUMAN	CSK21_HUMAN	Q9BYD3	P68400	22113938	IntAct
RNPS1	CSNK2A1	RNPS1_HUMAN	CSK21_HUMAN	Q15287	P68400	17353931	DIP;APID
HNRNPA2B1	CSNK2A1	ROA2_HUMAN	CSK21_HUMAN	P22626	P68400	10381337	iRefIndex;APID
RRP12	CSNK2A1	RRP12_HUMAN	CSK21_HUMAN	Q5JTH9	P68400	22113938	IntAct
RRP1B	CSNK2A1	RRP1B_HUMAN	CSK21_HUMAN	Q14684	P68400	22113938	IntAct
PDCD11	CSNK2A1	RRP5_HUMAN	CSK21_HUMAN	Q14690	P68400	18508856	Interoporc
RPS3	CSNK2A1	RS3_HUMAN	CSK21_HUMAN	P23396	P68400	22113938	IntAct
RSF1	CSNK2A1	RSF1_HUMAN	CSK21_HUMAN	Q96T23	P68400	22113938	IntAct
SAFB	CSNK2A1	SAFB1_HUMAN	CSK21_HUMAN	Q15424	P68400	22113938	IntAct
SAT1	CSNK2A1	SAT1_HUMAN	CSK21_HUMAN	P21673	P68400	8954982	APID
SET	CSNK2A1	SET_HUMAN	CSK21_HUMAN	Q01105	P68400	17309103	iRefIndex;IntAct
SFPQ	CSNK2A1	SFPQ_HUMAN	CSK21_HUMAN	P23246	P68400	22113938	IntAct
SHOX	CSNK2A1	SHOX_HUMAN	CSK21_HUMAN	O15266	P68400	16325853	APID
SIK1	CSNK2A1	SIK1_HUMAN	CSK21_HUMAN	P57059	P68400	20482850	Reactome_Fls
SIN3A	CSNK2A1	SIN3A_HUMAN	CSK21_HUMAN	Q96ST3	P68400	17827154	iRefIndex
SIN3B	CSNK2A1	SIN3B_HUMAN	CSK21_HUMAN	O75182	P68400	18508856	Interoporc
SIRT1	CSNK2A1	SIR1_HUMAN	CSK21_HUMAN	Q96EB6	P68400	21968188;20439735;19680552	UniProt;MINT;iRefIndex
SLX4	CSNK2A1	SLX4_HUMAN	CSK21_HUMAN	Q8IY92	P68400	19596235	IntAct
SMARCC2	CSNK2A1	SMRC2_HUMAN	CSK21_HUMAN	Q8TAQ2	P68400	22113938	IntAct
SUPT16H	CSNK2A1	SP16H_HUMAN	CSK21_HUMAN	Q9Y5B9	P68400	18508856	Interoporc
SP1	CSNK2A1	SP1_HUMAN	CSK21_HUMAN	P08047	P68400	9153193	APID
FTSJ3	CSNK2A1	SPB1_HUMAN	CSK21_HUMAN	Q8IY81	P68400	22113938	IntAct
RBM17	CSNK2A1	SPF45_HUMAN	CSK21_HUMAN	Q96I25	P68400	22113938	IntAct
SPATS2L	CSNK2A1	SPS2L_HUMAN	CSK21_HUMAN	Q9NUQ6	P68400	22113938	IntAct
SUPT5H	CSNK2A1	SPT5H_HUMAN	CSK21_HUMAN	O00267	P68400	22113938	IntAct
SUPT6H	CSNK2A1	SPT6H_HUMAN	CSK21_HUMAN	Q7KZ85	P68400	22113938	IntAct
SPTBN1	CSNK2A1	SPTB2_HUMAN	CSK21_HUMAN	Q01082	P68400	17088250	IntAct
SRC	CSNK2A1	SRC_HUMAN	CSK21_HUMAN	P12931	P68400	21075308	iRefIndex
SRF	CSNK2A1	SRF_HUMAN	CSK21_HUMAN	P11831	P68400	20482850;1740119	Reactome_Fls;APID
SRRM2	CSNK2A1	SRRM2_HUMAN	CSK21_HUMAN	Q9UQ35	P68400	22113938	IntAct
SRRT	CSNK2A1	SRRT_HUMAN	CSK21_HUMAN	Q9BXP5	P68400	22113938	IntAct
LOC100996657	CSNK2A1	SRS10_HUMAN	CSK21_HUMAN	O75494	P68400	22113938	IntAct
SRSF10	CSNK2A1	SRS10_HUMAN	CSK21_HUMAN	O75494	P68400	22113938	IntAct
PPAN	CSNK2A1	SSF1_HUMAN	CSK21_HUMAN	Q9NQ55	P68400	18508856	Interoporc
PPAN-P2RY11	CSNK2A1	SSF1_HUMAN	CSK21_HUMAN	Q9NQ55	P68400	18508856	Interoporc
SSRP1	CSNK2A1	SSRP1_HUMAN	CSK21_HUMAN	Q08945	P68400	22113938;15659405	IntAct;APID
STMN1	CSNK2A1	STMN1_HUMAN	CSK21_HUMAN	P16949	P68400	8376365	APID
STX1A	CSNK2A1	STX1A_HUMAN	CSK21_HUMAN	Q16623	P68400	10844023	APID
SURF6	CSNK2A1	SURF6_HUMAN	CSK21_HUMAN	O75683	P68400	22113938	IntAct
SNCA	CSNK2A1	SYUA_HUMAN	CSK21_HUMAN	P37840	P68400	20482850;19576176;10617630	Reactome_Fls;IntAct;APID
TAF1D	CSNK2A1	TAF1D_HUMAN	CSK21_HUMAN	Q9H5J8	P68400	19615732	iRefIndex;IntAct
TAF1	CSNK2A1	TAF1_HUMAN	CSK21_HUMAN	P21675	P68400	20482850	Reactome_Fls
SUB1	CSNK2A1	TCP4_HUMAN	CSK21_HUMAN	P53999	P68400	7809103;22113938;20482850	Reactome_Fls;MINT;iRefIndex;IntAct
GTF2A1	CSNK2A1	TF2AA_HUMAN	CSK21_HUMAN	P52655	P68400	11278496	APID
GTF2A1L	CSNK2A1	TF2AY_HUMAN	CSK21_HUMAN	Q9UNN4	P68400	12107178	APID
BRF1	CSNK2A1	TF3B_HUMAN	CSK21_HUMAN	Q92994	P68400	16713569	Spike
RELA	CSNK2A1	TF65_HUMAN	CSK21_HUMAN	Q04206	P68400	10938077	MINT;iRefIndex
TCF7L2	CSNK2A1	TF7L2_HUMAN	CSK21_HUMAN	Q9NQB0	P68400	11711551	APID
ACAT2	CSNK2A1	THIC_HUMAN	CSK21_HUMAN	Q9BWD1	P68400	16331323	APID
TOP2A	CSNK2A1	TOP2A_HUMAN	CSK21_HUMAN	P11388	P68400	9804834;20482850;15657099	Reactome_Fls;iRefIndex;APID
TOP2B	CSNK2A1	TOP2B_HUMAN	CSK21_HUMAN	Q02880	P68400	18508856	Interoporc
THRAP3	CSNK2A1	TR150_HUMAN	CSK21_HUMAN	Q9Y2W1	P68400	22113938	IntAct
TSPY1	CSNK2A1	TSPY1_HUMAN	CSK21_HUMAN	Q01534	P68400	16426576	APID
TSPY10	CSNK2A1	TSPY1_HUMAN	CSK21_HUMAN	Q01534	P68400	16426576	APID
TSPY3	CSNK2A1	TSPY1_HUMAN	CSK21_HUMAN	Q01534	P68400	16426576	APID
RRP9	CSNK2A1	U3IP2_HUMAN	CSK21_HUMAN	O43818	P68400	22113938	IntAct
CDC34	CSNK2A1	UB2R1_HUMAN	CSK21_HUMAN	P49427	P68400	11546811	Spike
UBE2R2	CSNK2A1	UB2R2_HUMAN	CSK21_HUMAN	Q712K3	P68400	12037680	APID
UTP14A	CSNK2A1	UT14A_HUMAN	CSK21_HUMAN	Q9BVJ6	P68400	22113938	IntAct
VDR	CSNK2A1	VDR_HUMAN	CSK21_HUMAN	P11473	P68400	8622969;20482850	Reactome_Fls;APID
VHL	CSNK2A1	VHL_HUMAN	CSK21_HUMAN	P40337	P68400	17936701	iRefIndex
HDLBP	CSNK2A1	VIGLN_HUMAN	CSK21_HUMAN	Q00341	P68400	22113938	IntAct
SLC18A2	CSNK2A1	VMAT2_HUMAN	CSK21_HUMAN	Q05940	P68400	9045708	APID
VTN	CSNK2A1	VTNC_HUMAN	CSK21_HUMAN	P04004	P68400	9733784	APID
WAS	CSNK2A1	WASP_HUMAN	CSK21_HUMAN	P42768	P68400	20482850;12769847	Reactome_Fls;APID
WDR48	CSNK2A1	WDR48_HUMAN	CSK21_HUMAN	Q8TAF3	P68400	19615732	iRefIndex;IntAct
WDR55	CSNK2A1	WDR55_HUMAN	CSK21_HUMAN	Q9H6Y2	P68400	22113938	IntAct
WEE1	CSNK2A1	WEE1_HUMAN	CSK21_HUMAN	P30291	P68400	20482850	Reactome_Fls
WNT1	CSNK2A1	WNT1_HUMAN	CSK21_HUMAN	P04628	P68400	20482850	Reactome_Fls
XRCC1	CSNK2A1	XRCC1_HUMAN	CSK21_HUMAN	P18887	P68400	15367657	iRefIndex
XRCC4	CSNK2A1	XRCC4_HUMAN	CSK21_HUMAN	Q13426	P68400	15385968	iRefIndex
XRCC5	CSNK2A1	XRCC5_HUMAN	CSK21_HUMAN	P13010	P68400	20711232	I2D_IMEx
YBX1	CSNK2A1	YBOX1_HUMAN	CSK21_HUMAN	P67809	P68400	22113938	IntAct
ZFC3H1	CSNK2A1	ZC3H1_HUMAN	CSK21_HUMAN	O60293	P68400	22113938	IntAct
ZC3H8	CSNK2A1	ZC3H8_HUMAN	CSK21_HUMAN	Q8N5P1	P68400	22113938	IntAct
ZC3H15	CSNK2A1	ZC3HF_HUMAN	CSK21_HUMAN	Q8WU90	P68400	22113938	IntAct
ZHX1	CSNK2A1	ZHX1_HUMAN	CSK21_HUMAN	Q9UKY1	P68400	16169070	IntAct
EIF4EBP1	CSNK2A2	4EBP1_HUMAN	CSK22_HUMAN	Q13541	P19784	9806882	APID
ABCA1	CSNK2A2	ABCA1_HUMAN	CSK22_HUMAN	O95477	P19784	15218032	APID
ACACA	CSNK2A2	ACACA_HUMAN	CSK22_HUMAN	Q13085	P19784	2900140	APID
APC2	CSNK2A2	APC2_HUMAN	CSK22_HUMAN	O95996	P19784	20482850	Reactome_Fls
AQP4	CSNK2A2	AQP4_HUMAN	CSK22_HUMAN	P55087	P19784	11742978	APID
ARRB2	CSNK2A2	ARRB2_HUMAN	CSK22_HUMAN	P32121	P19784	11877451	APID
SAG	CSNK2A2	ARRS_HUMAN	CSK22_HUMAN	P10523	P19784	20482850	Reactome_Fls
ATF2	CSNK2A2	ATF2_HUMAN	CSK22_HUMAN	P15336	P19784	9685505;15657099	Spike;iRefIndex;APID
AXIN1	CSNK2A2	AXIN1_HUMAN	CSK22_HUMAN	O15169	P19784	20482850	Reactome_Fls
BID	CSNK2A2	BID_HUMAN	CSK22_HUMAN	P55957	P19784	11583622	APID
CABP1	CSNK2A2	CABP1_HUMAN	CSK22_HUMAN	Q9NZU7	P19784	14685260	APID
CSN3	CSNK2A2	CASK_HUMAN	CSK22_HUMAN	P07498	P19784	16189514;15657099;11827172	Spike;iRefIndex;APID
CAV1	CSNK2A2	CAV1_HUMAN	CSK22_HUMAN	Q03135	P19784	8058322	APID
CREBBP	CSNK2A2	CBP_HUMAN	CSK22_HUMAN	Q92793	P19784	9685505	iRefIndex;APID
CBX2	CSNK2A2	CBX2_HUMAN	CSK22_HUMAN	Q14781	P19784	21282530	UniProt
CBX4	CSNK2A2	CBX4_HUMAN	CSK22_HUMAN	O00257	P19784	21282530	UniProt
MS4A1	CSNK2A2	CD20_HUMAN	CSK22_HUMAN	P11836	P19784	7678037	APID
CDC37	CSNK2A2	CDC37_HUMAN	CSK22_HUMAN	Q16543	P19784	12930845	APID
CDK1	CSNK2A2	CDK1_HUMAN	CSK22_HUMAN	P06493	P19784	20482850	Reactome_Fls
CDK2	CSNK2A2	CDK2_HUMAN	CSK22_HUMAN	P24941	P19784	20482850	Reactome_Fls
CDK4	CSNK2A2	CDK4_HUMAN	CSK22_HUMAN	P11802	P19784	20482850	Reactome_Fls
CDK5	CSNK2A2	CDK5_HUMAN	CSK22_HUMAN	Q00535	P19784	20482850	Reactome_Fls
CLTB	CSNK2A2	CLCB_HUMAN	CSK22_HUMAN	P09497	P19784	3128543	APID
CREM	CSNK2A2	CREM_HUMAN	CSK22_HUMAN	Q03060	P19784	8404858	APID
CSNK2A1	CSNK2A2	CSK21_HUMAN	CSK22_HUMAN	P68400	P19784	19011756	Spike;iRefIndex;IntAct
CSNK2A2	PPP2R5A	CSK22_HUMAN	2A5A_HUMAN	P19784	Q15172	20482850	Reactome_Fls
CSNK2A2	PPP2R5B	CSK22_HUMAN	2A5B_HUMAN	P19784	Q15173	20482850	Reactome_Fls
CSNK2A2	PPP2R5D	CSK22_HUMAN	2A5D_HUMAN	P19784	Q14738	20482850	Reactome_Fls
CSNK2A2	PPP2R5E	CSK22_HUMAN	2A5E_HUMAN	P19784	Q16537	20482850	Reactome_Fls
CSNK2A2	PPP2R5C	CSK22_HUMAN	2A5G_HUMAN	P19784	Q13362	20482850	Reactome_Fls
CSNK2A2	PRKAA2	CSK22_HUMAN	AAPK2_HUMAN	P19784	P54646	20482850	Reactome_Fls
CSNK2A2	ADH1A	CSK22_HUMAN	ADH1A_HUMAN	P19784	P07327	21988832	IntAct
CSNK2A2	PRMT1	CSK22_HUMAN	ANM1_HUMAN	P19784	Q99873	23455922	IntAct
CSNK2A2	APC	CSK22_HUMAN	APC_HUMAN	P19784	P25054	20482850	Reactome_Fls
CSNK2A2	ASL	CSK22_HUMAN	ARLY_HUMAN	P19784	P04424	21988832	IntAct
CSNK2A2	ARRB1	CSK22_HUMAN	ARRB1_HUMAN	P19784	P49407	20482850	Reactome_Fls
CSNK2A2	ATF1	CSK22_HUMAN	ATF1_HUMAN	P19784	P18846	9685505	iRefIndex
CSNK2A2	AUTS2	CSK22_HUMAN	AUTS2_HUMAN	P19784	Q8WXX7	23455922	IntAct
CSNK2A2	AXIN2	CSK22_HUMAN	AXIN2_HUMAN	P19784	Q9Y2T1	20482850	Reactome_Fls
CSNK2A2	BCR	CSK22_HUMAN	BCR_HUMAN	P19784	P11274	23455922	IntAct
